timestamp,bible_or_anime,quote,quote_source,image_prompt,image_file,image_file_motivational,tweet_link,tweet_id
2022-08-07 00:19:36.674522+00:00,bible,"Cursed shalt thou be when thou comest in, and cursed shalt thou be when thou goest out.",Deuteronomy 28:19,"Cursed shalt thou be when thou comest in, and cursed shalt thou be when thou goest out., horror surrealism photograph in the style of Amedeo Modigliani",img/B6IB2FZNEQ.png,img/B6IB2FZNEQ_motivational.jpg,https://twitter.com/i/web/status/1556072529898328064,1556072529898328064
2022-08-08 00:15:39.235850+00:00,bible,"And the angel of the LORD said unto Manoah, Of all that I said unto the woman let her beware.",Judges 13:13,"And the angel of the LORD said unto Manoah, Of all that I said unto the woman let her beware., realistic ancient woodcut in the style of Pierre-Auguste Renoir",img/PQOXJWAKMF.png,img/PQOXJWAKMF_motivational.jpg,https://twitter.com/i/web/status/1556433921671188480,1556433921671188480
2022-08-09 00:18:37.631091+00:00,bible,"Surely he shall deliver thee from the snare of the fowler, and from the noisome pestilence.",Psalms 91:3,"Surely he shall deliver thee from the snare of the fowler, and from the noisome pestilence., vaporwave portrait scientific diagram in the style of Hokusai",img/K1ZXDAN0JS.png,img/K1ZXDAN0JS_motivational.jpg,https://twitter.com/i/web/status/1556797056534122496,1556797056534122496
2022-08-10 00:16:19.272050+00:00,anime,Hard work is worthless for those that don’t believe in themselves.,Naruto Uzumaki (Naruto),"Hard work is worthless for those that don’t believe in themselves., gothic art deco watercolor in the style of J. M. W. Turner",img/I8WGK5H6ES.png,img/I8WGK5H6ES_motivational.jpg,https://twitter.com/i/web/status/1557158865455628288,1557158865455628288
2022-08-11 00:18:12.359064+00:00,bible,Whoso mocketh the poor reproacheth his Maker: and he that is glad at calamities shall not be unpunished.,Proverbs 17:5,"Whoso mocketh the poor reproacheth his Maker: and he that is glad at calamities shall not be unpunished., cartoon art deco photograph in the style of Paul Gauguin",img/O9KFJJLJDL.png,img/O9KFJJLJDL_motivational.jpg,https://twitter.com/i/web/status/1557521727525109760,1557521727525109760
2022-08-12 00:15:45.795124+00:00,bible,"If he turn not, he will whet his sword; he hath bent his bow, and made it ready.",Psalms 7:12,"If he turn not, he will whet his sword; he hath bent his bow, and made it ready., fantasy impressionism crayon in the style of Henri Rousseau",img/L6AOCERUOH.png,img/L6AOCERUOH_motivational.jpg,https://twitter.com/i/web/status/1557883500484763648,1557883500484763648
2022-08-13 00:17:50.755675+00:00,bible,"For I say unto you, that this that is written must yet be accomplished in me, And he was reckoned among the transgressors: for the things concerning me have an end.",Luke 22:37,"For I say unto you, that this that is written must yet be accomplished in me, And he was reckoned among the transgressors: for the things concerning me have an end., gothic portrait vector art in the style of Edvard Munch",img/K49R8GS2A7.png,img/K49R8GS2A7_motivational.jpg,https://twitter.com/i/web/status/1558246413112381441,1558246413112381441
2022-08-14 00:17:26.655510+00:00,bible,"Mine eye also shall see my desire on mine enemies, and mine ears shall hear my desire of the wicked that rise up against me.",Psalms 92:11,"Mine eye also shall see my desire on mine enemies, and mine ears shall hear my desire of the wicked that rise up against me., fantasy art nouveau acrylic in the style of Rembrandt",img/9GEXM6I8LV.png,img/9GEXM6I8LV_motivational.jpg,https://twitter.com/i/web/status/1558608699782053890,1558608699782053890
2022-08-15 00:17:10.592893+00:00,bible,"Saying, Blessed be the King that cometh in the name of the Lord: peace in heaven, and glory in the highest.",Luke 19:38,"Saying, Blessed be the King that cometh in the name of the Lord: peace in heaven, and glory in the highest., memphis street photography acrylic in the style of Gustav Klimt",img/LNM0JAW6D9.png,img/LNM0JAW6D9_motivational.jpg,https://twitter.com/i/web/status/1558971020295520256,1558971020295520256
2022-08-16 06:50:39.063008+00:00,anime,"Sometimes I do feel like I’m a failure. Like there’s no hope for me. But even so, I’m not gonna give up. Ever!",Izuku Midoriya,"Sometimes I do feel like I’m a failure. Like there’s no hope for me. But even so, I’m not gonna give up. Ever!, sci-fi dada illustration in the style of Paul Cezanne",img/GYD1FZ01P5.png,img/GYD1FZ01P5_motivational.jpg,https://twitter.com/i/web/status/1559432429005316097,1559432429005316097
2022-08-17 00:17:26.965912+00:00,anime,"Hey Villain, have you ever heard these words? Go Beyond! Plus...Ultra...!",All Might,"Hey Villain, have you ever heard these words? Go Beyond! Plus...Ultra...!, sci-fi surrealism illustration in the style of Franz Marc",img/5WB8JLPVEY.png,img/5WB8JLPVEY_motivational.jpg,https://twitter.com/i/web/status/1559695864444043264,1559695864444043264
